# step L_total L_int L_bdry L_orth L_gradation
213 1.07201681e+01 1.05932474e+01 1.11928985e-01 1.49914818e-02 0.00000000e+00
214 1.04142065e+01 1.02767076e+01 1.20282829e-01 1.72157250e-02 0.00000000e+00
215 1.07258320e+01 1.05900507e+01 1.18537188e-01 1.72439404e-02 0.00000000e+00
216 9.56070518e+00 9.42406654e+00 1.18626565e-01 1.80123206e-02 0.00000000e+00
217 1.02285385e+01 1.00937672e+01 1.16208635e-01 1.85627453e-02 0.00000000e+00
218 9.90456581e+00 9.77296448e+00 1.13499351e-01 1.81019641e-02 0.00000000e+00
219 1.01551962e+01 1.00379219e+01 9.74277779e-02 1.98466070e-02 0.00000000e+00
220 1.05546007e+01 1.04429512e+01 8.95287544e-02 2.21200865e-02 0.00000000e+00
221 1.02290831e+01 1.01167164e+01 8.61222893e-02 2.62439735e-02 0.00000000e+00
222 1.00999689e+01 9.99168205e+00 7.69999251e-02 3.12871113e-02 0.00000000e+00
223 1.06560984e+01 1.05424986e+01 7.61380494e-02 3.74612324e-02 0.00000000e+00
224 9.80167866e+00 9.67972565e+00 7.80411139e-02 4.39119264e-02 0.00000000e+00
225 1.02493267e+01 1.01234303e+01 7.91995674e-02 4.66970429e-02 0.00000000e+00
226 1.02669840e+01 1.01392527e+01 8.12024549e-02 4.65288348e-02 0.00000000e+00
227 1.01461926e+01 1.00133715e+01 8.61133039e-02 4.67080921e-02 0.00000000e+00
228 1.02482653e+01 1.01185904e+01 8.46747160e-02 4.49996665e-02 0.00000000e+00
229 1.05740452e+01 1.04441013e+01 8.90099257e-02 4.09331620e-02 0.00000000e+00
230 1.03946781e+01 1.02621050e+01 9.47447196e-02 3.78284715e-02 0.00000000e+00
231 9.45322514e+00 9.33030987e+00 8.87828320e-02 3.41317952e-02 0.00000000e+00
232 9.44844627e+00 9.32013893e+00 9.14262831e-02 3.68819200e-02 0.00000000e+00
233 1.05364504e+01 1.03831997e+01 1.10696703e-01 4.25536968e-02 0.00000000e+00
234 9.79541969e+00 9.63933086e+00 1.07869513e-01 4.82201427e-02 0.00000000e+00
235 1.02783432e+01 1.01167288e+01 1.13481134e-01 4.81327325e-02 0.00000000e+00
236 1.04414406e+01 1.02857914e+01 1.13443352e-01 4.22056429e-02 0.00000000e+00
237 9.63653851e+00 9.50175858e+00 9.84960720e-02 3.62837724e-02 0.00000000e+00
238 9.99279690e+00 9.86166859e+00 1.00661963e-01 3.04660350e-02 0.00000000e+00
239 1.04165401e+01 1.02885704e+01 1.00685462e-01 2.72843149e-02 0.00000000e+00
240 9.77098846e+00 9.64713097e+00 9.86350402e-02 2.52230186e-02 0.00000000e+00
241 9.84906578e+00 9.74653053e+00 7.76235461e-02 2.49117315e-02 0.00000000e+00
242 9.79837704e+00 9.68575764e+00 8.18294361e-02 3.07899248e-02 0.00000000e+00
243 9.90465069e+00 9.78387642e+00 8.93897414e-02 3.13847959e-02 0.00000000e+00
244 1.02618036e+01 1.01546793e+01 8.56902599e-02 2.14342736e-02 0.00000000e+00
245 9.86443710e+00 9.76918221e+00 8.29593241e-02 1.22954044e-02 0.00000000e+00
246 9.97463036e+00 9.88037395e+00 8.60775560e-02 8.17871373e-03 0.00000000e+00
247 1.02736044e+01 1.01687288e+01 9.74483714e-02 7.42687145e-03 0.00000000e+00
248 1.04580336e+01 1.03427582e+01 1.07567266e-01 7.70836510e-03 0.00000000e+00
249 9.81088734e+00 9.69200706e+00 1.11624762e-01 7.25525990e-03 0.00000000e+00
250 1.03618097e+01 1.02319708e+01 1.19365051e-01 1.04743540e-02 0.00000000e+00
251 1.05872307e+01 1.04449797e+01 1.25954181e-01 1.62965823e-02 0.00000000e+00
252 9.89164829e+00 9.74919415e+00 1.20189920e-01 2.22645719e-02 0.00000000e+00
253 9.81290245e+00 9.67109013e+00 1.18674107e-01 2.31380947e-02 0.00000000e+00
254 1.02007427e+01 1.00662727e+01 1.17356837e-01 1.71123762e-02 0.00000000e+00
255 1.05368757e+01 1.04245806e+01 1.01283893e-01 1.10114003e-02 0.00000000e+00
256 9.39136887e+00 9.29049015e+00 9.36798081e-02 7.19905784e-03 0.00000000e+00
257 1.05979576e+01 1.04978933e+01 9.26632583e-02 7.40170851e-03 0.00000000e+00
258 1.01475277e+01 1.00468864e+01 9.29381102e-02 7.70318881e-03 0.00000000e+00
259 9.94551849e+00 9.84588337e+00 9.21393335e-02 7.49634346e-03 0.00000000e+00
260 9.48456001e+00 9.38712120e+00 8.91774967e-02 8.26204009e-03 0.00000000e+00
