# step L_int L_bdry L_orth
262 1.35852367e-01 4.93214326e-03 2.55748816e-02
263 1.34510577e-01 4.49907780e-03 2.48235427e-02
264 1.31540164e-01 5.00350958e-03 2.54831314e-02
265 1.29885226e-01 4.89111710e-03 2.73101963e-02
266 1.28759146e-01 4.34018346e-03 2.60486472e-02
267 1.29332557e-01 4.67548054e-03 2.56841052e-02
268 1.25086129e-01 4.26233513e-03 2.59310436e-02
269 1.26852676e-01 4.27867332e-03 2.60309670e-02
270 1.25311419e-01 4.25110059e-03 2.56141126e-02
271 1.26739472e-01 4.22424497e-03 2.62343772e-02
272 1.27475217e-01 4.36486676e-03 2.61287838e-02
273 1.24227777e-01 4.33557993e-03 2.57529970e-02
274 1.26388028e-01 4.65944642e-03 2.57795025e-02
275 1.25654697e-01 3.96842696e-03 2.53116786e-02
276 1.27130017e-01 3.89362220e-03 2.61313077e-02
277 1.23032130e-01 4.12392197e-03 2.62726396e-02
278 1.25932708e-01 3.83447832e-03 2.69584656e-02
279 1.22247957e-01 4.03495319e-03 2.73951516e-02
280 1.23211145e-01 3.58962081e-03 2.79334392e-02
281 1.25526011e-01 3.90191120e-03 2.84464136e-02
282 1.21965736e-01 4.43682633e-03 2.89086979e-02
283 1.19020417e-01 3.95735539e-03 2.83973999e-02
284 1.25310868e-01 3.65796359e-03 2.85548195e-02
285 1.22177824e-01 4.24322253e-03 2.87990998e-02
286 1.19004652e-01 4.41493653e-03 2.91160606e-02
287 1.21861733e-01 3.53691191e-03 2.79775150e-02
288 1.17871366e-01 3.60564049e-03 2.99077034e-02
289 1.20725043e-01 3.82896559e-03 2.96266377e-02
290 1.18384488e-01 3.56959389e-03 2.96040624e-02
291 1.19401433e-01 3.68369604e-03 2.96709966e-02
292 1.14954822e-01 4.16126428e-03 2.97195110e-02
293 1.17952108e-01 4.22929879e-03 2.97577959e-02
294 1.16438985e-01 3.53635731e-03 2.92703994e-02
295 1.20421976e-01 3.62809608e-03 2.96450816e-02
296 1.15660958e-01 2.92658061e-03 2.92737540e-02
297 1.17768779e-01 3.15073505e-03 3.00370138e-02
298 1.13047123e-01 3.25327273e-03 3.05040255e-02
299 1.16190217e-01 3.48431198e-03 3.07588726e-02
300 1.14149056e-01 3.05496901e-03 3.08449604e-02
301 1.13679707e-01 3.15016462e-03 3.07535827e-02
302 1.15251556e-01 3.06353858e-03 3.03666480e-02
303 1.13318309e-01 2.64233700e-03 3.04577574e-02
304 1.11611374e-01 2.74027092e-03 2.97837090e-02
305 1.11816540e-01 3.20293522e-03 3.00990976e-02
306 1.13480411e-01 3.06346943e-03 3.03157717e-02
307 1.13655135e-01 2.95595708e-03 3.12596820e-02
308 1.14255011e-01 2.94362009e-03 3.13480869e-02
309 1.12171285e-01 2.84991041e-03 3.10904700e-02
310 1.10182077e-01 2.55481782e-03 3.14341709e-02
311 1.08291961e-01 2.76981550e-03 3.19244340e-02
312 1.09712422e-01 2.86171399e-03 3.23779397e-02
313 1.08113937e-01 3.18572461e-03 3.25633064e-02
314 1.10283151e-01 2.60630832e-03 3.21648829e-02
315 1.08700618e-01 2.73615238e-03 3.22205350e-02
316 1.09320283e-01 2.79028714e-03 3.30751315e-02
317 1.07050680e-01 2.42400123e-03 3.23712938e-02
318 1.10000432e-01 2.60311598e-03 3.25680785e-02
319 1.07847437e-01 2.53330707e-03 3.22233513e-02
320 1.06081650e-01 2.66196299e-03 3.22082043e-02
321 1.08830750e-01 2.80947797e-03 3.30019556e-02
322 1.07294261e-01 2.59821210e-03 3.26687545e-02
323 1.07569560e-01 2.56085698e-03 3.22136953e-02
324 1.06940001e-01 2.57082330e-03 3.28348391e-02
325 1.07602879e-01 2.21701898e-03 3.35800275e-02
326 1.07974671e-01 2.57528084e-03 3.29702534e-02
327 1.05405800e-01 2.51283194e-03 3.28634456e-02
328 1.05027728e-01 2.47590546e-03 3.31613459e-02
329 1.07744783e-01 2.44827755e-03 3.27265114e-02
330 1.04325049e-01 2.42620148e-03 3.30233388e-02
331 1.07847750e-01 2.66340282e-03 3.30156274e-02
332 1.05666630e-01 2.57253880e-03 3.39809768e-02
333 1.04722552e-01 2.23718537e-03 3.31122875e-02
334 1.03558049e-01 2.24531814e-03 3.34357657e-02
335 1.04315899e-01 2.10519345e-03 3.36744264e-02
336 1.04014128e-01 2.21952097e-03 3.35465558e-02
337 1.03359573e-01 2.33152462e-03 3.36603373e-02
338 1.04773559e-01 2.07524188e-03 3.22697200e-02
339 1.03373796e-01 2.05762521e-03 3.34900692e-02
340 1.05132386e-01 2.25256360e-03 3.39551419e-02
341 1.06364273e-01 2.15156609e-03 3.39844301e-02
342 1.03053674e-01 1.92103197e-03 3.34246345e-02
343 1.03911117e-01 2.07988778e-03 3.36824097e-02
344 1.04885675e-01 2.03896710e-03 3.35530527e-02
345 1.03505269e-01 2.19742907e-03 3.44472900e-02
346 1.02137923e-01 2.15177331e-03 3.46757770e-02
347 1.02406964e-01 2.15405133e-03 3.43862996e-02
348 1.03671566e-01 2.10674573e-03 3.36596258e-02
349 1.01863779e-01 1.98657624e-03 3.44230868e-02
350 1.00848563e-01 2.07088632e-03 3.54278982e-02
351 1.00356773e-01 2.27909302e-03 3.45751122e-02
352 1.00828499e-01 2.24660244e-03 3.46727148e-02
353 1.00992799e-01 2.12468975e-03 3.48544568e-02
354 1.00586273e-01 2.16935016e-03 3.50551456e-02
355 1.00399889e-01 2.03253794e-03 3.48528810e-02
356 1.01988211e-01 2.06459407e-03 3.46409790e-02
357 1.02090932e-01 1.98474224e-03 3.56895439e-02
358 1.01536438e-01 2.02926528e-03 3.49991098e-02
359 9.92906615e-02 2.00129882e-03 3.54854129e-02
360 9.87304896e-02 1.92409486e-03 3.48781422e-02
361 1.00950636e-01 1.96380564e-03 3.51096429e-02
362 1.00359902e-01 1.99347246e-03 3.45690772e-02
363 1.00753404e-01 1.83818152e-03 3.50205749e-02
364 1.00140423e-01 1.93956040e-03 3.52519676e-02
365 9.92586315e-02 1.88999949e-03 3.52660157e-02
366 9.86583903e-02 2.06911843e-03 3.46793160e-02
367 1.00217640e-01 1.76585629e-03 3.51262242e-02
368 9.73670557e-02 1.79995550e-03 3.52914296e-02
369 1.00121044e-01 2.00831378e-03 3.48599963e-02
370 9.88230258e-02 1.89644960e-03 3.47538739e-02
371 1.00335136e-01 2.00274633e-03 3.49367559e-02
372 9.81149599e-02 2.04935484e-03 3.60464454e-02
373 9.77190733e-02 1.81905949e-03 3.60399857e-02
374 9.87095907e-02 1.76796666e-03 3.65430899e-02
375 9.76078287e-02 1.91377569e-03 3.60504836e-02
376 9.71749872e-02 2.21717940e-03 3.59116979e-02
377 9.81421918e-02 1.90534978e-03 3.51657756e-02
378 9.82597247e-02 1.79624022e-03 3.64594795e-02
379 9.55406874e-02 1.84901466e-03 3.56811509e-02
380 9.75583419e-02 1.82356406e-03 3.65970992e-02
