# step L_total L_int L_bdry L_orth
236 1.72179267e-01 1.45900831e-01 6.16514217e-03 2.01132838e-02
237 1.73849195e-01 1.47914305e-01 5.74631430e-03 2.01885719e-02
238 1.72223046e-01 1.47051692e-01 6.00321824e-03 1.91681348e-02
239 1.76362753e-01 1.50561541e-01 6.55213790e-03 1.92490723e-02
240 1.72096729e-01 1.46721631e-01 5.96103072e-03 1.94140710e-02
241 1.75132185e-01 1.49064630e-01 5.99094387e-03 2.00766120e-02
242 1.69751346e-01 1.44008979e-01 5.75268129e-03 1.99896917e-02
243 1.72903180e-01 1.46862641e-01 6.03745319e-03 2.00030860e-02
244 1.74173772e-01 1.48406819e-01 5.77073125e-03 1.99962333e-02
245 1.67568818e-01 1.40688032e-01 6.00526296e-03 2.08755229e-02
246 1.70627862e-01 1.43889144e-01 6.35026488e-03 2.03884616e-02
247 1.70166820e-01 1.43364981e-01 5.58913779e-03 2.12127008e-02
248 1.68749407e-01 1.41936243e-01 5.59678301e-03 2.12163776e-02
249 1.64581686e-01 1.37465462e-01 5.62678417e-03 2.14894358e-02
250 1.66911438e-01 1.40707999e-01 5.41989692e-03 2.07835417e-02
251 1.64288700e-01 1.38395548e-01 5.11873420e-03 2.07744259e-02
252 1.63331628e-01 1.37253255e-01 5.38475625e-03 2.06936188e-02
253 1.67691976e-01 1.40347838e-01 5.69800846e-03 2.16461252e-02
254 1.62543818e-01 1.35605887e-01 5.39235026e-03 2.15455778e-02
255 1.63062543e-01 1.35047615e-01 5.68884937e-03 2.23260801e-02
256 1.63238972e-01 1.35303050e-01 5.43983001e-03 2.24960893e-02
257 1.64903477e-01 1.37130857e-01 6.06015930e-03 2.17124652e-02
258 1.62894934e-01 1.35709733e-01 5.62365027e-03 2.15615407e-02
259 1.61439240e-01 1.33524671e-01 5.78048173e-03 2.21340731e-02
260 1.62381917e-01 1.34004265e-01 5.88702457e-03 2.24906206e-02
261 1.60831690e-01 1.32345289e-01 6.10278733e-03 2.23836135e-02
262 1.63347840e-01 1.34091944e-01 6.31656405e-03 2.29393467e-02
263 1.63644224e-01 1.35306537e-01 5.22611011e-03 2.31115744e-02
264 1.62541404e-01 1.33617744e-01 5.64836897e-03 2.32752897e-02
265 1.62446886e-01 1.33561224e-01 5.10520348e-03 2.37804651e-02
266 1.63422778e-01 1.34723693e-01 5.18495496e-03 2.35141385e-02
267 1.61549136e-01 1.33692741e-01 4.88083903e-03 2.29755435e-02
268 1.64507225e-01 1.36351556e-01 5.31684048e-03 2.28388309e-02
269 1.60539642e-01 1.32468194e-01 5.15291002e-03 2.29185410e-02
270 1.60361066e-01 1.32231697e-01 5.27458452e-03 2.28547957e-02
271 1.61437243e-01 1.32793590e-01 4.96876799e-03 2.36748923e-02
272 1.61444098e-01 1.33304685e-01 4.49444214e-03 2.36449745e-02
273 1.60223112e-01 1.31317973e-01 4.94176196e-03 2.39633825e-02
274 1.63337320e-01 1.33997068e-01 5.48827602e-03 2.38519739e-02
275 1.61950886e-01 1.32208422e-01 5.16469497e-03 2.45777629e-02
276 1.59103096e-01 1.28988668e-01 5.23422053e-03 2.48802081e-02
277 1.62371323e-01 1.32214129e-01 5.00536663e-03 2.51518283e-02
278 1.57514483e-01 1.27834439e-01 4.73660836e-03 2.49434449e-02
279 1.63547844e-01 1.33851245e-01 4.80996631e-03 2.48866454e-02
280 1.57346174e-01 1.27467170e-01 4.98532597e-03 2.48936731e-02
281 1.57639831e-01 1.28055423e-01 4.54155216e-03 2.50428580e-02
282 1.59555227e-01 1.30076781e-01 4.62403055e-03 2.48544142e-02
283 1.60843357e-01 1.31641537e-01 4.39933501e-03 2.48024929e-02
284 1.59098953e-01 1.29252002e-01 4.42957692e-03 2.54173800e-02
